year,births,deaths,clinic
1833,3737,197,clinic 1
1834,2657,205,clinic 1
1835,2573,143,clinic 1
1836,2677,200,clinic 1
1837,2765,251,clinic 1
1838,2987,91,clinic 1
1839,2781,151,clinic 1
1840,2889,267,clinic 1
1841,3036,237,clinic 1
1842,3287,518,clinic 1
1843,3060,274,clinic 1
1844,3157,260,clinic 1
1845,3492,241,clinic 1
1846,4010,459,clinic 1
1847,3490,176,clinic 1
1848,3556,45,clinic 1
1849,3858,103,clinic 1
1850,3745,74,clinic 1
1851,4194,75,clinic 1
1852,4471,181,clinic 1
1853,4221,94,clinic 1
1854,4393,400,clinic 1
1855,3659,198,clinic 1
1856,3925,156,clinic 1
1857,4220,124,clinic 1
1858,4203,86,clinic 1
1833,353,8,clinic 2
1834,1744,150,clinic 2
1835,1682,84,clinic 2
1836,1670,131,clinic 2
1837,1784,124,clinic 2
1838,1779,88,clinic 2
1839,2010,91,clinic 2
1840,2073,55,clinic 2
1841,2442,86,clinic 2
1842,2659,202,clinic 2
1843,2739,164,clinic 2
1844,2956,68,clinic 2
1845,3241,66,clinic 2
1846,3754,105,clinic 2
1847,3306,32,clinic 2
1848,3319,43,clinic 2
1849,3371,87,clinic 2
1850,3261,54,clinic 2
1851,3395,121,clinic 2
1852,3360,192,clinic 2
1853,3480,67,clinic 2
1854,3396,210,clinic 2
1855,2938,174,clinic 2
1856,3070,125,clinic 2
1857,3795,83,clinic 2
1858,4179,60,clinic 2
